Datetime,Open,High,Low,Close,Volume
2026-08-17,3.67,4.39,3.67,4.26,95719
2026-08-18,5.02,5.02,4.33,4.58,104322
2026-08-19,4.58,4.75,4.23,4.37,73072
2026-08-20,4.5,4.71,3.85,4.6,72001
2026-08-21,4.71,4.71,4.15,4.52,11677
2026-08-24,4.43,4.52,4.4,4.41,19385
2026-08-25,4.27,4.39,4.16,4.27,25881
2026-08-26,4.27,4.48,4.21,4.29,19573
2026-08-27,4.23,4.56,4.21,4.32,12036
2026-08-28,4.42,4.42,4.15,4.24,19182
2026-08-31,4.04,4.56,4.04,4.26,52527
2026-09-01,4.26,4.52,4.17,4.35,20130
2026-09-02,4.45,4.45,4.2,4.32,16175
2026-09-03,4.38,4.57,4.2,4.35,30291
2026-09-04,4.33,4.59,4.21,4.33,17330
2026-09-07,4.35,5.17,4.21,4.57,122265
2026-09-08,4.98,4.98,4.32,4.69,77720
2026-09-09,4.77,5.09,4.25,4.46,219304
2026-09-10,4.28,4.7,3.8,4.14,101237
2026-09-11,4.24,4.4,4.2,4.31,25752
2026-09-15,4.4,4.4,4.07,4.29,12333
2026-09-16,4.4,4.4,4.06,4.11,31101
2026-09-17,4.21,4.3,4.01,4.12,26732
2026-09-18,4.4,4.4,4.08,4.18,31872
2026-09-21,4.4,4.55,4.0,4.22,40600
2026-09-22,4.08,4.36,4.08,4.27,28145
2026-09-23,4.3,4.39,4.12,4.15,33591
2026-09-24,4.12,4.39,4.1,4.23,23807
2026-09-25,4.29,4.46,3.86,4.13,85524
