Datetime,Open,High,Low,Close,Volume
2026-08-17,801.25,801.25,677.0,728.5,861
2026-08-18,701.05,751.95,686.0,700.8,589
2026-08-19,683.3,723.75,683.3,709.2,395
2026-08-20,712.0,716.0,672.0,689.4,532
2026-08-21,689.4,712.05,669.0,692.85,736
2026-08-24,676.6,701.0,676.6,699.7,726
2026-08-25,700.0,700.0,664.1,699.15,768
2026-08-26,700.0,700.0,670.05,680.7,897
2026-08-27,680.0,694.95,668.05,682.85,578
2026-08-28,668.0,689.0,668.0,673.1,155
2026-08-31,590.05,660.0,590.05,632.0,6084
2026-09-01,623.0,644.9,605.05,622.55,1161
2026-09-02,623.0,625.0,604.0,615.55,896
2026-09-03,630.45,639.25,618.0,621.3,241
2026-09-04,621.3,636.0,600.05,625.65,782
2026-09-07,621.0,660.0,620.55,644.1,1328
2026-09-08,650.0,680.0,630.0,638.1,616
2026-09-09,637.0,665.95,622.25,652.0,253
2026-09-10,664.0,674.8,640.0,643.45,466
2026-09-11,625.55,664.0,625.55,647.0,155
2026-09-15,673.95,673.95,617.0,641.45,451
2026-09-16,655.0,655.0,636.0,637.15,298
2026-09-17,643.05,660.6,641.05,642.5,325
2026-09-18,643.55,657.75,630.0,637.65,176
