Datetime,Open,High,Low,Close,Volume
2026-04-20,9218.0,9290.0,9005.0,9255.0,395
2026-04-21,9285.0,9285.0,9135.0,9202.95,447
2026-04-22,9279.95,9288.0,9150.2,9222.6,855
2026-04-23,9223.0,9223.0,9100.0,9110.2,455
2026-04-24,9155.8,9155.8,8985.0,9035.65,537
2026-04-27,9149.95,9174.95,8990.0,9047.55,992
2026-04-28,9083.8,9879.95,9079.9,9512.45,1379
2026-04-29,9649.0,10103.0,9600.0,10022.3,1352
2026-04-30,10023.0,10030.2,9430.0,9611.3,757
2026-05-04,9620.0,10002.0,9411.0,9606.0,582
2026-05-05,9580.5,9600.0,9400.5,9461.0,377
2026-05-06,9799.0,9799.5,9370.5,9421.5,651
2026-05-07,9451.0,9849.0,9442.0,9729.0,655
2026-05-08,9725.5,10150.0,9725.5,10024.5,515
2026-05-11,10074.5,10145.0,9650.0,9767.0,1264
2026-05-12,9752.5,9910.0,9475.5,9545.0,620
