Datetime,Open,High,Low,Close,Volume
2026-02-11,105.61,105.62,102.65,103.67,1061701
2026-02-12,103.55,105.97,102.98,103.69,35424
2026-02-13,103.69,104.0,100.8,102.12,14398
2026-02-16,102.12,103.9,100.04,103.41,9951
2026-02-17,103.41,104.0,102.83,103.34,7995
2026-02-18,102.29,104.35,101.53,103.72,6428
2026-02-19,102.2,104.35,102.0,102.55,3043
2026-02-20,100.5,104.31,100.22,104.14,19521
2026-02-23,104.14,104.65,102.2,104.2,14340
2026-02-24,103.24,104.92,102.31,104.6,7230
2026-02-25,104.42,105.9,104.05,104.77,6293
2026-02-26,104.25,105.54,104.0,105.37,5005
2026-02-27,106.98,106.98,102.2,103.0,5855
2026-03-02,101.0,104.44,100.94,104.25,9760
2026-03-04,101.86,103.64,101.0,101.41,16538
2026-03-05,101.23,103.89,99.4,103.83,10004
2026-03-06,101.75,104.44,101.3,103.87,8529
2026-03-09,101.79,103.8,99.86,101.39,7271
2026-03-10,103.97,103.97,98.53,102.25,7784
2026-03-11,102.0,103.13,101.01,101.87,4835
2026-03-12,100.03,103.49,99.0,103.47,4942
2026-03-13,101.45,103.0,100.94,101.37,6796
2026-03-16,101.37,101.37,98.71,99.36,5263
2026-03-17,98.5,100.57,98.15,100.46,1942
2026-03-18,99.05,101.98,99.05,101.25,11975
2026-03-19,101.25,101.25,98.0,98.51,4104
2026-03-20,98.07,101.43,98.07,99.39,4045
2026-03-23,103.86,103.86,95.57,96.23,10869
2026-03-24,98.99,98.99,95.92,97.6,4626
2026-03-25,98.98,98.98,96.6,97.74,3029
2026-03-27,97.74,98.68,95.75,97.19,54636
2026-03-30,97.98,98.7,95.0,96.22,8518
2026-04-01,98.14,100.55,96.5,97.81,14836
2026-04-02,96.5,98.68,94.5,97.59,4088
2026-04-06,93.2,98.3,93.2,98.08,3333
2026-04-07,96.12,98.98,96.12,98.92,2891
2026-04-08,100.01,102.97,99.4,100.28,2953
2026-04-09,101.98,102.42,98.27,101.96,3858
2026-04-10,101.96,102.9,99.92,102.53,5196
2026-04-13,101.0,102.55,99.28,102.51,3763
2026-04-15,104.56,104.56,101.03,103.65,6377
2026-04-16,104.32,104.99,102.2,103.71,5074
2026-04-17,103.64,106.85,103.64,106.48,27574
2026-04-20,108.48,108.99,103.53,106.13,14560
2026-04-21,105.08,107.97,105.08,106.41,10833
2026-04-22,104.41,107.48,104.28,107.29,5290
2026-04-23,108.47,108.48,105.08,106.57,3652
2026-04-24,106.5,106.83,104.18,106.56,7079
2026-04-27,106.02,107.96,106.01,106.98,3676
2026-04-28,106.77,108.45,106.0,108.07,7550
2026-04-29,108.16,108.86,107.48,107.98,5757
2026-04-30,106.0,108.9,105.82,106.25,1753
2026-05-04,106.07,108.41,104.45,107.58,19811
2026-05-05,106.54,107.48,105.94,107.47,11980
2026-05-06,109.5,109.85,106.69,107.86,6446
2026-05-07,107.93,108.33,106.92,108.28,3352
2026-05-08,106.3,108.26,106.15,107.11,1400
2026-05-11,104.97,106.89,104.97,106.3,19001
2026-05-12,104.17,106.99,104.17,105.11,4996
2026-05-13,104.59,106.42,104.04,106.37,4794
2026-05-14,105.0,107.44,105.0,106.63,4855
2026-05-15,105.08,107.96,105.01,105.72,1567
2026-05-18,105.71,105.71,102.2,103.78,15024
2026-05-19,103.78,104.67,103.35,104.19,9287
2026-05-20,103.0,104.57,102.15,103.99,2111
2026-05-21,104.78,106.5,103.99,105.57,1541
2026-05-22,104.45,108.0,103.56,105.04,1011
2026-05-25,107.0,107.0,103.85,105.17,1825
2026-05-26,103.07,106.0,103.0,104.07,7223
2026-05-27,105.48,106.0,102.1,105.08,3790
2026-05-29,103.1,105.0,102.2,102.95,3098
2026-06-01,102.95,104.68,101.66,102.19,5669
2026-06-02,100.15,101.68,100.15,101.0,9789
2026-06-03,100.0,101.87,99.96,101.79,13180
2026-06-04,101.7,102.69,98.0,101.65,12927
2026-06-05,101.02,102.0,100.91,101.6,2386
2026-06-08,100.87,102.13,99.86,101.05,7712
2026-06-09,101.5,105.6,99.98,100.71,25087
2026-06-10,99.7,101.47,99.15,99.49,2843
2026-06-11,99.49,99.49,98.0,98.46,5438
2026-06-12,100.49,100.49,98.2,99.63,1506
2026-06-15,100.12,102.98,99.75,100.24,5779
2026-06-16,98.25,100.97,98.25,100.79,1267
2026-06-17,98.8,101.89,98.77,101.73,3677
2026-06-18,101.9,102.67,100.99,102.46,3116
2026-06-19,103.2,103.5,101.26,102.43,18424
2026-06-22,102.0,103.16,102.0,102.99,3550
2026-06-23,106.97,106.97,100.0,101.22,8721
2026-06-24,102.68,102.68,100.8,100.8,2239
2026-06-25,98.8,101.77,98.53,100.17,5094
2026-06-29,100.0,100.4,99.0,100.19,4126
2026-06-30,100.06,100.68,98.35,99.55,7981
2026-07-01,101.54,101.54,99.55,100.13,2636
2026-07-02,100.13,101.68,100.0,101.13,5021
2026-07-03,100.63,102.2,99.98,100.26,1200
2026-07-06,100.76,101.07,100.07,100.86,10399
2026-07-07,102.18,102.18,98.54,99.28,4595
2026-07-08,100.58,100.58,98.0,98.46,4058
2026-07-09,97.5,99.14,96.08,98.61,2556
2026-07-10,98.7,99.67,98.7,99.6,1474
2026-07-13,100.48,100.48,98.24,99.71,4910
2026-07-14,98.3,99.96,98.3,99.58,350
2026-07-15,100.07,100.07,98.94,98.95,3740
