Datetime,Open,High,Low,Close,Volume
2016-08-01,90.3,91.1,88.75,88.95,628346
2016-08-02,89.1,89.95,88.4,88.75,403868
2016-08-03,88.65,89.15,87.05,87.25,415796
2016-08-04,88.45,92.0,87.55,91.1,901243
2016-08-05,92.15,103.45,91.7,102.55,12486664
2016-08-08,103.5,107.7,103.3,105.8,4344618
2016-08-09,105.8,107.5,101.3,105.55,3539148
2016-08-10,101.0,102.45,98.1,102.0,4612199
2016-08-11,102.8,102.8,100.2,101.1,1111357
2016-08-12,101.1,108.3,101.1,105.2,2849675
2016-08-16,104.4,107.0,102.1,106.1,1346226
2016-08-17,106.0,109.9,106.0,109.35,2132086
2016-08-18,109.6,113.85,109.4,113.1,2408907
2016-08-19,112.6,114.4,110.15,113.25,1396232
2016-08-22,113.0,113.0,110.0,110.6,883971
2016-08-23,111.0,112.0,109.1,111.2,838085
2016-08-24,111.1,127.3,111.0,125.1,9487538
2016-08-25,123.0,129.35,121.4,127.0,6575310
2016-08-26,125.45,127.2,120.4,122.65,2403519
2016-08-29,123.8,131.3,123.5,130.4,5556470
2016-08-30,130.65,134.8,128.05,133.2,4459331
2016-08-31,132.0,133.55,130.0,131.85,2230042
2016-09-01,131.0,137.5,130.05,133.8,2956101
2016-09-02,133.7,148.3,133.5,145.9,8422985
2016-09-06,147.8,152.35,145.55,147.45,6171202
2016-09-07,147.8,150.5,143.9,145.3,3522481
2016-09-08,145.45,146.7,142.0,143.05,2425862
2016-09-09,142.95,147.9,142.0,143.0,2594202
2016-09-12,141.1,141.25,134.0,135.25,1645893
2016-09-14,135.2,145.5,135.15,144.45,4630075
2016-09-15,145.7,149.45,144.0,145.25,3629310
2016-09-16,146.25,151.35,142.1,146.1,4850754
2016-09-19,146.0,151.5,146.0,149.75,4004476
2016-09-20,150.5,152.45,145.0,146.4,3803359
2016-09-21,147.2,149.25,145.25,147.55,2296246
2016-09-22,149.0,149.95,142.25,143.35,2623968
2016-09-23,144.25,147.8,143.5,144.75,3453367
2016-09-26,145.0,146.2,142.65,143.7,1361674
2016-09-27,144.9,145.4,138.2,139.95,1669996
2016-09-28,140.7,149.7,138.75,148.5,4464165
2016-09-29,149.5,153.2,135.0,141.5,6795462
2016-09-30,140.8,149.45,140.0,148.45,3298388
2016-10-03,150.0,152.6,149.1,150.65,3188712
2016-10-04,152.2,157.4,152.2,154.95,5480344
2016-10-05,155.75,159.4,155.1,157.8,5505768
2016-10-06,158.45,161.4,154.1,156.6,4220066
2016-10-07,157.4,157.4,151.1,152.8,1997742
2016-10-10,153.6,155.3,151.0,151.7,1762723
2016-10-13,151.3,158.8,148.05,157.7,4691882
2016-10-14,158.9,159.4,153.1,154.7,2469717
2016-10-17,154.6,154.75,149.7,151.35,2554718
2016-10-18,152.0,154.5,148.7,153.95,3389051
2016-10-19,153.0,153.7,150.1,150.85,1214398
2016-10-20,151.0,152.8,149.0,149.95,1114046
2016-10-21,150.6,152.3,149.2,150.35,1258961
2016-10-24,150.3,151.3,148.15,148.6,892762
2016-10-25,149.55,149.7,146.4,147.45,972574
2016-10-26,146.6,149.5,144.3,145.5,1006565
2016-10-27,145.05,145.3,138.1,139.1,1280599
2016-10-28,139.6,142.8,139.35,141.05,1238579
2016-10-30,141.65,142.35,141.5,141.8,157963
2016-11-01,142.3,149.75,141.7,147.95,2743949
2016-11-02,142.15,145.75,142.15,143.35,1488770
2016-11-03,142.3,146.9,142.0,142.7,1146666
2016-11-04,143.05,143.75,135.5,137.15,995938
2016-11-07,139.7,142.25,138.25,139.15,827268
2016-11-08,140.7,144.65,137.25,142.15,1658847
2016-11-09,120.0,138.65,116.65,137.55,2399900
2016-11-10,141.9,149.0,141.9,145.25,2051549
2016-11-11,142.0,143.2,135.65,136.6,1549774
2016-11-15,137.0,137.0,122.15,123.3,1823308
2016-11-16,127.0,128.0,120.45,121.45,1607241
2016-11-17,120.5,123.6,116.25,116.7,1139275
2016-11-18,116.7,123.9,116.7,122.8,1935550
2016-11-21,122.8,122.8,112.45,113.65,1170277
2016-11-22,114.8,117.4,109.8,110.7,1788921
2016-11-23,112.0,114.2,110.25,112.8,1421954
2016-11-24,112.0,114.7,110.35,113.2,1053287
2016-11-25,114.0,119.25,113.1,118.4,1537985
2016-11-28,118.85,121.65,117.0,117.75,1393271
2016-11-29,118.1,120.65,116.2,117.2,1420916
2016-11-30,118.15,123.45,118.15,121.9,3002615
2016-12-01,122.5,122.9,117.55,118.4,1523825
2016-12-02,117.8,118.7,115.1,117.15,1252704
2016-12-05,118.3,119.25,115.55,116.95,1475203
2016-12-06,117.2,123.4,117.2,122.3,2328644
2016-12-07,123.0,123.45,118.0,119.5,1225744
2016-12-08,121.7,123.7,120.5,121.05,1031021
2016-12-09,121.5,122.1,119.6,121.05,1411020
2016-12-12,119.9,120.15,118.5,118.95,519796
2016-12-13,118.5,120.15,118.5,118.8,750398
2016-12-14,118.25,120.65,116.5,117.0,758090
2016-12-15,115.0,120.0,115.0,119.1,1121071
2016-12-16,119.75,119.85,116.3,116.8,806492
2016-12-19,116.4,116.65,114.15,115.0,485940
2016-12-20,114.1,115.75,110.9,111.6,757473
2016-12-21,110.9,113.9,109.4,111.95,886049
2016-12-22,112.0,112.05,109.6,111.15,530617
2016-12-23,110.9,113.0,110.3,111.0,493492
2016-12-26,110.85,110.95,108.0,108.5,483967
2016-12-27,108.5,110.8,106.0,110.0,699350
2016-12-28,110.5,112.5,110.15,111.65,729643
2016-12-29,114.5,114.95,112.3,113.6,1170345
2016-12-30,114.0,114.6,113.05,113.45,465170
2017-01-02,113.5,116.8,112.25,115.8,671274
2017-01-03,116.5,117.9,115.15,116.55,771682
2017-01-04,116.5,117.8,115.4,116.15,800139
2017-01-05,116.5,117.3,116.0,116.45,729761
2017-01-06,117.0,119.7,116.1,116.4,1009065
2017-01-09,116.55,116.9,114.5,114.85,400155
2017-01-10,115.5,122.3,115.0,120.65,1910585
2017-01-11,122.9,125.7,121.5,124.95,2721711
2017-01-12,125.0,126.8,121.45,124.35,1875440
2017-01-13,125.0,129.5,121.3,127.55,2812455
2017-01-16,127.45,135.5,126.1,134.45,3687013
2017-01-17,134.9,136.9,132.15,132.9,2078737
2017-01-18,133.75,135.3,128.45,129.65,1169082
2017-01-19,130.0,131.7,128.5,130.35,748028
2017-01-20,129.2,131.4,126.0,127.0,747362
2017-01-23,126.8,128.35,124.9,125.35,856270
2017-01-24,125.8,129.15,125.5,127.8,983201
2017-01-25,128.95,130.4,127.4,129.4,763751
2017-01-27,130.0,130.6,126.25,126.75,790258
2017-01-30,126.3,126.6,124.55,125.25,437978
2017-01-31,124.5,124.55,120.0,120.45,986651
2017-02-01,120.0,123.5,118.1,122.55,1283065
2017-02-02,121.9,123.9,119.55,120.3,880969
2017-02-03,120.55,123.5,120.0,121.4,923477
2017-02-06,122.4,123.4,120.15,121.35,709624
2017-02-07,121.55,121.95,118.05,118.35,1460893
2017-02-08,118.4,119.4,116.8,118.05,1151557
2017-02-09,118.8,120.0,118.0,119.25,813466
2017-02-10,115.0,117.75,113.6,116.5,1127393
2017-02-13,117.1,117.8,116.05,116.85,616373
2017-02-14,116.9,116.9,111.55,112.6,761091
2017-02-15,113.7,116.85,112.5,116.1,1473036
2017-02-16,116.5,120.7,113.65,119.5,2196513
2017-02-17,121.4,121.5,118.4,118.85,1406648
2017-02-20,118.95,120.3,117.7,118.7,655055
2017-02-21,118.8,119.7,118.0,118.25,465430
2017-02-22,118.9,122.2,117.65,119.4,1463536
2017-02-23,119.0,122.35,118.85,120.6,1358597
2017-02-27,121.7,123.9,121.05,121.9,1239184
2017-02-28,122.9,125.35,122.55,124.5,1802926
2017-03-01,125.0,125.9,124.5,124.95,801206
2017-03-02,125.45,125.65,120.1,121.0,1059053
2017-03-03,120.7,123.8,119.7,123.0,1008092
2017-03-06,123.5,126.7,123.1,124.35,859659
2017-03-07,123.4,123.4,119.45,119.9,1107713
2017-03-08,121.75,121.75,116.55,117.2,867070
2017-03-09,118.0,120.2,116.8,117.4,985788
2017-03-10,117.6,119.1,116.5,116.9,551424
2017-03-14,119.7,125.0,118.0,124.1,2877434
2017-03-15,125.0,131.4,125.0,128.3,6887133
2017-03-16,129.3,132.0,128.3,129.5,2414085
2017-03-17,129.85,131.3,125.8,129.45,2498356
2017-03-20,134.25,135.0,132.0,132.35,3584088
2017-03-21,132.7,133.7,129.1,132.6,2490836
2017-03-22,131.5,134.3,130.25,132.05,2698763
2017-03-23,132.55,135.9,132.55,135.05,2793873
2017-03-24,135.8,136.4,134.1,134.9,1819330
2017-03-27,135.6,137.0,133.7,135.5,2253269
2017-03-28,136.0,136.45,129.35,130.7,2160475
2017-03-29,130.5,132.2,127.35,130.7,3121404
2017-03-30,130.25,131.75,129.65,130.5,1014524
2017-03-31,130.3,133.2,129.0,131.95,1674306
2017-04-03,132.9,135.2,132.5,133.3,1573257
2017-04-05,133.3,135.0,131.35,132.45,1419235
2017-04-06,132.0,134.6,131.6,133.35,1683988
2017-04-07,132.35,139.9,131.95,137.4,5293153
2017-04-10,139.0,142.15,138.75,139.85,2411477
2017-04-11,140.0,145.5,138.5,144.45,4696454
2017-04-12,145.7,146.75,140.05,141.95,2165360
2017-04-13,142.5,144.3,140.5,141.35,1370524
2017-04-17,142.0,146.7,140.25,145.5,2765099
2017-04-18,146.35,148.9,136.95,138.55,2898230
2017-04-19,139.6,144.0,139.0,142.25,1628421
2017-04-20,143.6,155.65,142.05,154.3,6976087
2017-04-21,155.7,156.7,151.1,153.25,3245877
2017-04-24,154.05,161.65,153.2,160.7,5008956
2017-04-25,162.0,162.4,157.75,158.85,3287366
2017-04-26,160.25,164.25,157.1,161.95,4613365
2017-04-27,162.9,164.8,160.5,161.15,2105719
2017-04-28,161.95,167.0,159.3,165.8,4268551
2017-05-02,165.8,171.65,163.8,170.1,3765408
2017-05-03,171.0,184.8,167.65,178.6,7442273
2017-05-04,178.25,183.7,173.7,175.85,3805056
2017-05-05,175.5,178.7,172.45,176.9,2612349
2017-05-08,176.0,179.0,173.5,177.0,1690745
2017-05-09,177.55,181.4,174.9,177.65,1974038
2017-05-10,178.1,178.75,175.1,176.2,1270076
2017-05-11,176.2,177.8,169.6,171.0,1308456
2017-05-12,170.0,170.95,165.0,165.7,1151512
2017-05-15,165.7,171.55,162.75,169.05,1589534
2017-05-16,161.0,177.8,160.2,175.5,5152499
2017-05-17,174.5,180.8,174.0,179.65,3461276
2017-05-18,176.0,183.4,173.2,174.8,3530383
2017-05-19,176.25,178.95,174.1,175.65,1285470
2017-05-22,178.05,180.0,172.15,173.15,2197054
2017-05-23,172.0,174.4,165.3,168.45,1954272
2017-05-24,166.4,169.75,161.1,162.9,1711091
2017-05-25,163.0,171.0,163.0,170.3,1942838
2017-05-26,169.8,172.4,166.0,166.55,1870233
2017-05-29,167.8,168.75,162.3,163.0,1092423
2017-05-30,162.9,169.1,161.1,167.85,1662487
2017-05-31,167.0,169.0,165.0,166.3,658453
2017-06-01,166.3,174.5,165.0,171.7,3314050
2017-06-02,172.95,179.3,172.5,176.35,3840313
2017-06-05,177.2,180.4,174.9,175.75,2201534
2017-06-06,176.5,181.5,171.15,179.5,3458665
2017-06-07,180.6,184.8,180.1,182.7,4332132
2017-06-08,183.65,186.3,180.65,184.55,3202452
2017-06-09,183.7,186.3,181.4,182.95,1865357
2017-06-12,182.0,183.5,176.8,178.8,1776755
2017-06-13,179.7,181.8,174.0,175.25,1937235
2017-06-14,175.0,176.5,172.05,174.2,1649068
2017-06-15,174.5,176.8,173.05,175.2,999797
2017-06-16,175.5,176.65,172.0,173.0,1132733
2017-06-19,173.75,174.3,166.7,167.7,1597216
2017-06-20,168.5,173.0,168.5,171.45,1663550
2017-06-21,171.45,175.15,170.2,173.2,1656517
2017-06-22,174.0,174.45,168.1,169.75,974808
2017-06-23,170.7,171.85,165.3,166.75,957361
2017-06-27,166.75,167.65,157.35,158.9,1479418
2017-06-28,158.2,161.9,155.0,161.0,1444451
2017-06-29,162.2,163.7,160.55,161.25,776051
2017-06-30,161.25,163.0,158.0,160.85,865711
2017-07-03,162.3,169.75,161.55,168.95,1894896
2017-07-04,169.8,171.5,166.0,166.85,1319369
2017-07-05,167.2,170.65,166.1,169.95,1017201
2017-07-06,170.0,173.35,168.0,168.9,1682069
2017-07-07,168.5,171.5,167.0,169.4,1392585
2017-07-10,170.0,170.8,167.0,168.8,274419
2017-07-11,169.85,174.2,168.25,169.6,1840809
2017-07-12,170.1,172.4,168.2,170.65,1339125
2017-07-13,170.7,171.45,168.05,168.7,831612
2017-07-14,168.7,169.05,165.0,166.15,914749
2017-07-17,166.4,168.85,165.05,167.45,816763
2017-07-18,166.55,168.95,163.85,164.7,1064890
2017-07-19,165.05,166.45,162.35,163.15,1409506
2017-07-20,163.4,164.9,162.05,162.35,934440
2017-07-21,162.75,165.0,162.0,162.7,1177362
2017-07-24,163.2,163.7,160.0,160.75,1023465
2017-07-25,161.45,167.9,161.2,167.15,2863537
2017-07-26,167.85,170.65,166.1,167.0,1731698
2017-07-27,165.1,166.35,162.5,162.95,930895
2017-07-28,161.8,164.65,161.25,162.35,961500
2017-07-31,163.2,164.9,160.55,161.9,1928001
2017-08-01,163.0,165.75,162.0,163.5,1399706
2017-08-02,164.3,170.4,162.55,169.1,4477667
2017-08-03,170.3,170.6,161.1,163.4,2625694
2017-08-04,158.0,162.9,157.5,160.2,2027925
2017-08-07,160.1,167.9,159.1,165.95,2136007
2017-08-08,167.0,167.35,160.0,161.2,1000176
2017-08-09,161.0,161.0,154.8,155.2,1164521
2017-08-10,155.0,157.9,147.6,149.55,1126335
2017-08-11,145.15,151.55,143.4,147.0,1194214
2017-08-14,148.45,153.8,148.0,151.7,781115
2017-08-16,144.0,155.0,140.0,152.35,4254424
2017-08-17,152.5,155.25,150.4,153.95,1088251
2017-08-18,151.0,153.9,149.35,151.7,724755
2017-08-21,152.7,152.9,140.5,143.1,1922888
2017-08-22,144.0,145.8,140.15,141.65,785253
2017-08-23,144.0,144.8,140.35,143.3,1071180
2017-08-24,143.9,144.55,141.5,143.35,639670
2017-08-28,144.9,146.0,143.0,143.85,371583
2017-08-29,143.4,146.8,142.7,143.4,785061
2017-08-30,144.1,146.35,143.5,144.1,616536
2017-08-31,144.85,148.0,143.0,147.45,1133304
2017-09-01,148.0,150.3,147.8,148.75,718897
2017-09-04,148.95,148.95,144.0,146.65,600434
2017-09-05,147.0,150.8,146.8,149.25,873482
2017-09-06,148.8,151.7,146.95,149.35,694077
2017-09-07,150.6,151.5,147.7,148.55,483204
2017-09-08,148.9,149.5,143.9,144.7,628949
2017-09-11,146.9,149.0,143.05,147.5,1404604
2017-09-12,148.1,155.85,147.0,154.1,2135543
2017-09-13,156.4,157.3,149.2,150.65,2837039
2017-09-14,151.0,152.9,149.0,150.0,652909
2017-09-15,148.9,149.8,145.1,147.15,756825
2017-09-18,148.25,151.0,146.5,149.75,2008436
2017-09-19,149.0,150.65,147.4,148.05,794025
2017-09-20,156.25,165.35,156.25,158.0,5986275
2017-09-21,158.6,158.8,152.7,155.7,1255081
2017-09-22,157.0,160.0,152.05,155.3,2062973
2017-09-25,156.0,157.7,148.5,149.9,1015841
2017-09-26,149.0,151.9,147.05,148.45,1032738
2017-09-27,149.5,150.9,143.0,143.9,751282
2017-09-28,145.5,149.5,145.0,145.6,1163613
2017-09-29,147.0,149.7,146.4,146.7,1101444
2017-10-03,148.95,149.6,147.0,148.25,523363
2017-10-04,148.3,150.4,146.45,147.4,766713
2017-10-05,147.6,149.25,147.0,148.4,562206
2017-10-06,148.5,152.6,148.5,150.7,1040328
2017-10-09,150.35,153.4,150.35,151.9,712641
2017-10-10,152.7,154.8,152.0,152.7,780170
2017-10-11,153.9,153.9,149.2,149.65,643798
2017-10-12,150.2,151.0,148.6,149.9,442230
2017-10-13,150.4,151.3,149.0,149.45,467457
2017-10-16,149.45,150.8,149.4,149.9,389452
2017-10-17,149.8,152.0,148.9,150.0,440821
2017-10-18,150.0,151.6,148.2,148.8,437681
2017-10-19,148.7,150.2,148.3,149.5,103211
2017-10-23,150.0,150.05,146.25,146.75,549906
2017-10-24,147.15,147.4,145.4,145.9,651350
2017-10-25,147.35,147.35,145.1,145.65,603698
2017-10-26,146.5,147.75,144.6,145.8,604862
2017-10-27,145.8,148.9,144.55,145.65,1061999
2017-10-30,146.4,148.45,146.0,147.15,694861
2017-10-31,147.2,147.8,145.3,145.65,469238
2017-11-01,146.95,148.35,146.1,146.75,549412
2017-11-02,147.0,149.1,144.65,145.0,635493
2017-11-03,146.2,147.0,144.75,145.85,576729
2017-11-06,145.6,153.95,145.0,153.0,2075217
2017-11-07,154.5,155.4,147.0,147.7,1688377
2017-11-08,148.45,149.4,145.8,146.8,596109
2017-11-09,147.4,148.95,146.1,148.0,458702
2017-11-10,147.5,151.4,146.25,149.75,870144
2017-11-13,149.8,151.7,148.1,150.1,1061996
2017-11-14,151.7,152.0,146.55,147.9,884766
2017-11-15,144.95,150.8,143.0,143.9,2389339
2017-11-16,144.5,146.5,144.5,145.2,480583
2017-11-17,146.25,148.3,144.0,144.5,886313
2017-11-20,145.3,145.85,144.05,144.75,300650
2017-11-21,144.9,148.4,144.5,146.65,1012942
2017-11-22,147.4,148.5,144.6,145.9,843423
2017-11-23,146.7,148.0,144.8,145.4,823836
2017-11-24,146.0,147.2,144.1,144.75,815958
2017-11-27,145.3,147.25,145.3,146.7,709592
2017-11-28,146.6,149.5,145.6,146.35,1228943
2017-11-29,147.5,147.95,145.0,145.25,563867
2017-11-30,145.0,145.2,143.15,143.6,668510
2017-12-01,144.3,145.4,140.9,141.65,495354
2017-12-04,142.25,142.9,135.8,136.6,914607
2017-12-05,136.65,137.0,134.55,135.2,555926
2017-12-06,135.7,138.4,134.6,136.25,467342
2017-12-07,136.0,139.2,135.6,138.25,531451
2017-12-08,138.8,140.4,138.1,138.55,599617
2017-12-11,139.0,140.0,137.2,137.7,479692
2017-12-12,138.0,138.3,136.0,136.35,349937
2017-12-13,136.1,137.2,134.0,134.55,582380
2017-12-14,135.2,135.6,128.1,129.1,1427198
2017-12-15,130.75,142.5,129.8,138.75,3559139
2017-12-18,137.7,142.0,132.1,139.5,1513819
2017-12-19,140.4,143.0,139.8,141.45,861718
2017-12-20,142.0,143.4,140.0,140.25,939280
2017-12-21,140.7,146.4,140.05,143.7,2468266
2017-12-22,144.8,146.8,143.3,145.5,1743654
2017-12-26,145.5,148.4,143.5,146.95,1371102
2017-12-27,147.5,152.95,144.7,147.5,4199751
2017-12-28,148.0,149.65,147.0,147.8,817547
2017-12-29,147.25,149.2,147.0,147.65,704863
2018-01-01,147.8,149.7,145.55,146.85,850509
2018-01-02,147.5,148.05,143.7,144.65,881480
2018-01-03,145.0,150.5,145.0,148.8,1122164
2018-01-04,149.0,152.5,148.0,150.6,1922805
2018-01-05,150.9,156.5,150.6,154.9,3239153
2018-01-08,157.0,159.6,156.0,158.15,1892114
2018-01-09,159.0,170.9,158.0,168.45,7927834
2018-01-10,168.45,169.9,162.45,168.75,2615713
2018-01-11,169.35,173.0,165.5,169.6,2182829
2018-01-12,170.0,179.4,168.85,176.75,5234949
2018-01-15,176.6,181.9,176.05,177.1,2364129
2018-01-16,175.6,176.0,166.65,173.75,1891199
2018-01-17,172.1,180.8,169.0,179.7,3086994
2018-01-18,180.0,183.3,172.5,175.35,2635803
2018-01-19,176.0,182.8,174.2,179.7,2128221
2018-01-22,180.1,182.65,177.0,177.85,957445
2018-01-23,177.6,179.75,177.0,178.1,1576235
2018-01-24,177.3,178.0,171.2,176.75,1393535
2018-01-25,175.85,183.35,175.0,179.65,1924040
2018-01-29,179.0,181.3,174.5,176.9,562365
2018-01-30,175.0,177.55,170.2,176.1,960488
2018-01-31,175.0,179.5,172.6,175.15,695661
2018-02-01,175.75,192.45,174.1,187.95,5066056
2018-02-02,184.7,186.5,172.5,173.9,3193166
2018-02-05,170.0,179.25,168.0,174.6,1247766
2018-02-06,158.2,172.75,157.6,167.2,1378372
2018-02-07,170.45,176.0,170.0,171.65,743199
2018-02-08,172.15,178.7,172.15,176.7,1226436
2018-02-09,171.6,180.6,171.6,177.25,882586
2018-02-12,180.0,193.0,180.0,190.3,4345201
2018-02-14,185.0,185.0,174.1,175.75,3678905
2018-02-15,175.0,178.15,171.25,172.65,1390463
2018-02-16,173.7,174.85,163.0,164.65,913500
2018-02-19,165.8,165.8,158.35,160.15,1112885
2018-02-20,162.0,163.15,157.05,157.75,1082942
2018-02-21,158.1,158.9,151.7,152.85,1461619
2018-02-22,152.8,154.5,150.35,151.2,876969
2018-02-23,151.95,155.85,151.5,153.15,1096678
2018-02-26,153.75,155.95,147.2,149.35,1418462
2018-02-27,150.4,151.9,146.0,147.55,1620775
2018-02-28,148.35,151.9,146.55,150.5,1606617
2018-03-01,152.0,155.2,150.55,153.3,1298477
2018-03-05,154.9,158.0,153.4,157.0,1828188
2018-03-06,158.3,159.85,154.15,155.7,874797
2018-03-07,155.6,155.7,150.25,152.6,793828
2018-03-08,153.65,154.8,147.55,153.95,942253
2018-03-09,154.6,156.8,152.0,153.4,880261
2018-03-12,155.0,155.95,151.8,153.75,459500
2018-03-13,153.9,156.95,153.65,155.35,875922
2018-03-14,154.5,155.0,152.9,153.75,380822
2018-03-15,153.95,156.8,153.8,155.2,476548
2018-03-16,155.65,155.65,151.2,152.5,360289
2018-03-19,153.4,153.55,148.85,149.7,569603
2018-03-20,149.5,151.4,148.25,150.1,385263
2018-03-21,151.25,152.8,148.15,149.05,535450
2018-03-22,149.25,150.25,145.5,146.35,547817
2018-03-23,143.9,144.6,141.2,143.35,452747
2018-03-26,145.0,149.5,142.3,149.0,879396
2018-03-27,151.0,158.3,149.25,157.35,1269159
2018-03-28,157.0,166.8,154.55,162.95,1537670
2018-04-02,162.95,167.4,157.0,160.15,1206170
2018-04-03,159.8,164.4,157.95,160.55,1877505
2018-04-04,161.8,164.25,156.4,158.5,935605
2018-04-05,161.0,165.3,160.6,162.8,1243374
2018-04-06,163.0,166.2,160.05,163.7,1448138
2018-04-09,164.95,164.95,162.5,163.4,584580
2018-04-10,163.3,164.55,162.35,163.5,451169
2018-04-11,163.4,164.9,161.1,161.95,473939
2018-04-12,161.5,168.4,160.15,163.15,2299920
2018-04-13,163.0,165.9,161.5,162.6,917232
2018-04-16,161.95,166.0,160.55,164.6,1141038
2018-04-17,164.5,170.6,163.9,167.15,2049863
2018-04-18,168.15,168.65,163.0,163.8,603917
2018-04-19,164.0,165.1,162.05,162.85,992958
2018-04-20,162.55,163.1,161.05,161.55,795682
2018-04-23,161.0,161.4,158.55,159.15,1188716
2018-04-24,159.9,160.55,150.0,151.8,1411988
2018-04-25,152.8,153.75,147.7,149.1,788981
2018-04-26,148.4,151.95,148.4,149.65,479010
2018-04-27,149.6,154.8,149.55,153.55,838215
2018-04-30,156.9,158.05,154.55,156.4,940780
2018-05-02,158.05,160.95,154.45,155.6,1946601
2018-05-03,155.0,155.0,151.55,152.4,529474
2018-05-04,152.6,153.3,149.6,151.1,596575
2018-05-07,152.75,153.4,151.1,152.3,641267
2018-05-08,152.95,152.95,148.85,149.75,400471
2018-05-09,149.75,151.8,147.8,148.55,500262
2018-05-10,148.75,150.6,144.6,145.25,568005
2018-05-11,146.35,147.0,145.1,146.15,423543
2018-05-14,149.0,149.0,145.0,146.25,398869
2018-05-15,146.1,147.9,143.45,144.3,396179
2018-05-16,142.0,145.2,141.15,143.35,534936
2018-05-17,145.0,145.95,143.4,144.4,494409
2018-05-18,150.4,155.7,146.55,147.9,4219481
2018-05-21,147.5,148.35,139.6,140.4,829973
2018-05-22,141.0,141.35,135.05,135.5,1196646
2018-05-23,136.5,139.0,135.0,135.2,900176
2018-05-24,136.4,136.4,132.3,133.85,853800
2018-05-25,134.0,135.5,131.5,132.45,1475918
2018-05-28,134.0,137.6,133.25,134.9,1188494
2018-05-29,135.65,137.1,134.05,135.1,630880
2018-05-30,134.35,136.85,133.5,135.9,828305
2018-05-31,136.75,136.9,133.1,134.3,467749
2018-06-01,134.3,134.7,130.7,131.35,560182
2018-06-04,132.2,132.35,126.85,127.45,726650
2018-06-05,127.95,127.95,121.0,122.35,1174711
2018-06-06,123.0,123.1,118.5,121.0,1705620
2018-06-07,121.75,125.45,121.7,123.5,1079813
2018-06-08,124.0,125.35,122.5,124.7,1011514
2018-06-11,125.0,129.85,124.8,128.0,1450914
2018-06-12,129.3,130.0,128.1,128.85,575704
2018-06-13,129.0,132.0,128.3,129.75,1136492
2018-06-14,129.25,129.8,128.2,129.3,383555
2018-06-15,129.6,130.7,127.3,128.5,510326
2018-06-18,129.45,131.0,127.8,129.35,547008
2018-06-19,129.0,129.3,126.85,127.5,311945
2018-06-20,127.5,128.4,124.4,126.25,450975
2018-06-21,126.55,128.45,125.0,126.1,624952
2018-06-22,125.6,126.45,124.55,125.25,499539
2018-06-25,125.0,125.7,121.8,123.15,389848
2018-06-26,122.5,126.5,121.0,125.9,917623
2018-06-27,125.85,125.85,120.1,121.0,511634
2018-06-28,120.7,123.4,117.65,121.0,672249
2018-06-29,121.8,123.6,121.15,121.85,446000
2018-07-02,121.8,122.9,117.0,117.8,546590
2018-07-03,117.6,119.45,116.1,118.3,376686
2018-07-04,118.6,121.7,117.0,121.0,737198
2018-07-05,121.1,123.85,121.1,122.35,843890
2018-07-06,122.35,124.6,121.5,123.2,1074615
2018-07-09,124.6,127.5,123.65,126.0,1047191
2018-07-10,127.1,129.95,126.55,129.65,1291957
2018-07-11,128.7,131.2,127.05,129.9,868658
