Datetime,Open,High,Low,Close,Volume
2026-04-20,1329.55,1346.85,1281.1,1301.9,4965
2026-04-21,1310.0,1410.0,1287.15,1388.05,14954
2026-04-22,1399.0,1399.0,1341.05,1355.15,3250
2026-04-23,1341.0,1359.65,1261.3,1291.8,8436
2026-04-24,1300.05,1333.8,1282.65,1322.35,4115
2026-04-27,1323.05,1362.3,1293.15,1298.85,4597
2026-04-28,1312.55,1323.4,1301.0,1310.6,2074
2026-04-29,1319.0,1319.0,1237.8,1264.7,16393
2026-04-30,1258.4,1261.25,1166.5,1199.3,16417
2026-05-04,1203.3,1267.2,1203.3,1258.5,3855
2026-05-05,1259.8,1294.1,1220.1,1283.0,7486
2026-05-06,1296.7,1325.0,1269.0,1318.0,10341
2026-05-07,1308.7,1319.8,1281.0,1299.6,19427
2026-05-08,1308.3,1308.3,1261.6,1294.1,6570
2026-05-11,1324.9,1324.9,1240.0,1249.4,7584
2026-05-12,1269.8,1290.0,1228.2,1234.2,6246
2026-05-13,1221.3,1316.0,1221.3,1290.8,12071
2026-05-14,1340.0,1376.9,1340.0,1370.6,35509
2026-05-15,1370.8,1424.7,1346.1,1371.7,6157
2026-05-18,1373.6,1373.6,1273.9,1295.3,6197
2026-05-19,1295.3,1341.8,1250.0,1269.6,7336
2026-05-20,1282.7,1282.7,1231.1,1263.0,3885
2026-05-21,1245.8,1291.2,1176.1,1201.8,15062
2026-05-22,1210.1,1262.2,1190.0,1206.1,8298
2026-05-25,1218.9,1258.9,1203.1,1236.2,3584
2026-05-26,1250.0,1250.0,1182.0,1198.1,21896
2026-05-27,1202.0,1235.6,1197.1,1221.7,8633
2026-05-29,1265.0,1273.5,1223.9,1241.2,7362
2026-06-01,1172.1,1245.9,1089.1,1102.8,37258
2026-06-02,1085.0,1136.6,1085.0,1113.5,19324
2026-06-03,1123.9,1149.0,1117.6,1138.9,12025
2026-06-04,1141.2,1148.9,1110.6,1126.9,4876
2026-06-05,1140.1,1149.0,1110.0,1120.6,4361
2026-06-08,1112.4,1205.8,1100.0,1154.4,15917
2026-06-09,1154.4,1219.1,1147.0,1201.5,23670
2026-06-10,1228.0,1441.5,1199.9,1253.4,52053
2026-06-11,1234.7,1269.0,1225.0,1254.1,12997
2026-06-12,1255.1,1272.8,1239.9,1245.4,10923
2026-06-15,1250.2,1306.0,1239.7,1287.4,16880
2026-06-16,1287.5,1287.5,1249.1,1258.7,6393
2026-06-17,1288.0,1288.0,1193.0,1202.3,11786
2026-06-18,1206.0,1228.0,1191.4,1201.1,4596
2026-06-19,1204.3,1225.9,1172.6,1196.1,23965
2026-06-22,1217.9,1225.0,1160.4,1202.7,32952
2026-06-23,1202.7,1222.0,1168.9,1181.1,11299
2026-06-24,1182.0,1194.7,1154.3,1170.5,10084
2026-06-25,1173.9,1209.2,1145.8,1159.7,8297
2026-06-29,1159.7,1199.7,1159.7,1173.8,2380
2026-06-30,1178.3,1184.9,1164.1,1168.8,4171
2026-07-01,1170.0,1216.9,1167.2,1201.1,5577
2026-07-02,1191.5,1215.0,1186.2,1205.8,2293
2026-07-03,1208.9,1221.4,1168.1,1173.5,7504
2026-07-06,1170.0,1233.9,1162.4,1207.5,12956
