Datetime,Open,High,Low,Close,Volume
2017-04-18,0.57,0.59,0.56,0.58,54854500
2017-04-19,0.59,0.59,0.57,0.58,5699160
2017-04-20,0.57,0.59,0.57,0.59,6174100
2017-04-21,0.59,0.6,0.59,0.59,2374660
2017-04-24,0.59,0.6,0.58,0.59,2374660
2017-04-25,0.6,0.6,0.58,0.58,712400
2017-04-26,0.59,0.59,0.58,0.59,949860
2017-04-27,0.57,0.59,0.57,0.59,2137180
2017-04-28,0.58,0.59,0.58,0.59,712400
2017-05-02,0.59,0.59,0.57,0.58,12823120
2017-05-03,0.61,0.7,0.61,0.68,27071060
2017-05-04,0.7,0.71,0.69,0.69,2612120
2017-05-05,0.69,0.69,0.69,0.69,474940
2017-05-08,0.68,0.68,0.68,0.68,474940
2017-05-09,0.67,0.68,0.65,0.65,1187320
2017-05-10,0.68,0.68,0.68,0.68,474940
2017-05-11,0.66,0.66,0.66,0.66,237460
2017-05-12,0.66,0.66,0.66,0.66,237460
2017-05-15,0.68,0.76,0.68,0.71,1424800
2017-05-16,0.68,0.68,0.68,0.68,237460
2017-05-18,0.66,0.66,0.66,0.66,474940
2017-05-22,0.65,0.65,0.65,0.65,237460
2017-05-23,0.65,0.65,0.65,0.65,237460
2017-05-24,0.66,0.66,0.63,0.63,474940
2017-05-29,0.63,0.63,0.61,0.61,712400
2017-05-30,0.61,0.61,0.61,0.61,237460
2017-06-02,0.61,0.61,0.6,0.6,1424800
2017-06-05,0.59,0.59,0.58,0.58,474940
2017-06-07,0.59,0.6,0.59,0.6,474940
2017-06-13,0.63,0.63,0.63,0.63,237460
2017-06-14,0.64,0.72,0.64,0.68,1187320
2017-06-16,0.72,0.72,0.68,0.68,474940
2017-06-23,0.66,0.66,0.66,0.66,237460
2017-07-04,0.63,0.63,0.63,0.63,237460
2017-07-05,0.63,0.63,0.62,0.62,712400
2017-07-06,0.62,0.63,0.59,0.61,2137180
2017-07-07,0.61,0.61,0.61,0.61,237460
2017-07-11,0.61,0.61,0.61,0.61,237460
2017-07-12,0.61,0.61,0.61,0.61,474940
2017-07-13,0.66,0.71,0.66,0.66,2137180
2017-07-17,0.66,0.66,0.63,0.63,474940
2017-07-19,0.61,0.64,0.61,0.64,474940
