Datetime,Open,High,Low,Close,Volume
2022-02-03,63.4,68.8,63.2,63.42,22916
2022-02-04,63.5,65.0,63.3,63.45,28660
2022-02-07,63.45,66.0,63.45,63.85,36872
2022-02-08,65.15,65.15,63.8,63.87,12816
2022-02-09,64.4,65.15,64.0,64.86,70654
2022-02-10,64.86,65.0,64.1,64.87,31969
2022-02-11,66.4,66.4,64.02,64.41,16828
2022-02-14,64.65,68.2,64.48,66.2,94950
2022-02-15,66.7,66.89,65.3,65.49,42077
2022-02-16,65.79,66.95,65.1,65.57,103944
2022-02-17,65.98,66.99,65.2,66.09,108432
2022-02-18,66.09,66.25,65.43,66.08,26946
2022-02-21,66.0,66.0,65.25,65.41,12481
2022-02-22,66.0,67.7,66.0,66.55,320621
2022-02-23,66.55,68.8,66.01,66.14,56908
2022-02-24,66.55,74.2,66.55,69.8,302430
2022-02-25,70.8,70.8,66.61,67.35,202811
2022-02-28,67.7,69.7,67.15,67.41,96788
2022-03-02,69.25,69.84,68.35,69.26,78163
2022-03-03,69.99,70.0,69.1,69.69,139720
2022-03-04,70.0,70.49,69.55,69.94,54800
2022-03-07,76.8,76.8,70.66,72.44,297929
2022-03-08,72.44,73.55,71.14,72.71,191984
2022-03-09,74.69,75.25,72.5,72.87,216660
2022-03-10,77.2,77.2,70.15,70.94,115256
2022-03-11,71.89,72.26,71.01,71.99,69729
2022-03-14,78.5,78.5,70.2,71.01,58994
2022-03-15,70.75,70.75,69.2,69.44,65607
2022-03-16,69.97,69.97,69.0,69.36,64500
2022-03-17,70.59,70.59,69.36,69.64,149499
2022-03-21,69.68,69.68,69.1,69.48,52312
2022-03-22,69.7,70.5,69.52,69.82,22060
2022-03-23,69.82,69.82,68.9,69.38,35410
2022-03-24,69.65,69.99,69.01,69.6,14817
2022-03-25,70.11,70.96,70.11,70.68,39472
2022-03-28,77.0,77.0,65.4,69.56,85883
2022-03-29,69.56,69.56,68.75,68.81,76603
2022-03-30,68.8,69.25,68.12,68.8,25522
2022-03-31,68.5,69.25,68.3,68.73,60073
2022-04-01,69.0,69.3,68.81,69.02,29493
2022-04-04,69.28,69.44,68.42,68.87,46700
2022-04-05,68.8,68.8,68.0,68.42,121349
2022-04-06,68.78,68.78,67.71,68.26,43627
2022-04-07,68.0,68.68,68.0,68.29,31595
2022-04-08,68.39,68.98,68.09,68.78,98224
2022-04-11,68.8,69.64,68.74,69.55,23913
2022-04-12,69.62,70.3,69.5,69.61,52794
2022-04-13,69.66,71.4,69.66,71.28,82885
2022-04-18,72.48,72.48,71.5,72.01,152082
2022-04-19,72.01,72.29,71.66,72.05,122258
2022-04-20,78.5,78.5,70.12,70.31,49611
2022-04-21,70.78,70.78,69.65,69.85,60056
2022-04-22,69.99,69.99,68.45,68.65,131232
2022-04-25,74.8,74.8,67.45,67.49,159218
2022-04-26,67.99,68.17,67.22,67.5,93702
2022-04-27,67.68,67.99,66.76,67.15,89903
2022-04-28,66.99,66.99,65.82,66.42,153814
2022-04-29,66.55,67.19,66.25,66.9,176898
2022-05-02,65.94,65.94,64.8,64.98,199702
2022-05-04,64.94,68.9,64.44,64.63,266263
2022-05-05,64.7,66.0,64.7,65.39,171378
2022-05-06,64.99,64.99,64.11,64.57,223574
2022-05-09,64.57,64.98,63.95,64.09,143323
2022-05-10,64.0,64.19,63.5,63.62,41095
2022-05-11,63.34,63.49,62.51,63.43,91009
2022-05-12,63.39,63.39,62.23,62.31,134738
2022-05-13,61.94,61.94,60.05,61.16,168617
2022-05-16,61.89,61.9,61.26,61.87,39124
2022-05-17,62.88,63.49,62.4,63.29,108376
2022-05-18,62.79,63.48,62.65,63.17,50650
2022-05-19,62.79,62.85,62.05,62.44,23183
2022-05-20,63.0,64.2,63.0,63.75,44159
