Datetime,Open,High,Low,Close,Volume
2026-08-17,20.16,20.94,19.15,19.68,10562
2026-08-18,19.66,19.94,19.0,19.1,21477
2026-08-19,18.56,19.28,18.56,19.05,17072
2026-08-20,18.65,20.44,18.65,19.29,36236
2026-08-21,19.94,19.94,18.66,18.73,14207
2026-08-24,19.06,19.11,18.35,18.87,26198
2026-08-25,19.1,19.1,18.25,18.85,16494
2026-08-26,19.23,19.23,18.26,18.5,10934
2026-08-27,18.5,18.98,17.51,18.8,27829
2026-08-28,18.98,18.98,17.65,18.11,13463
2026-08-31,18.93,18.94,17.76,18.55,9857
2026-09-01,19.0,19.0,17.52,18.3,20797
2026-09-02,18.98,18.98,17.76,18.21,4252
