Datetime,Open,High,Low,Close,Volume
2026-08-17,762.0,762.0,730.05,751.25,1174
2026-08-18,751.25,770.0,730.3,740.45,2234
2026-08-19,740.45,766.0,736.05,740.15,3658
2026-08-20,741.15,822.0,741.0,793.6,36666
2026-08-21,792.0,792.0,756.1,772.95,6851
2026-08-24,785.0,791.0,756.1,761.0,6839
2026-08-25,761.1,789.7,750.05,754.5,6381
2026-08-26,755.8,764.75,741.6,745.85,8628
2026-08-27,745.85,751.95,738.05,741.3,4782
2026-08-28,750.0,779.9,737.0,760.75,10626
2026-08-31,767.7,767.7,742.0,744.25,5023
2026-09-01,755.0,759.6,741.6,753.1,6902
2026-09-02,755.0,771.0,741.0,749.7,15022
2026-09-03,764.95,764.95,747.0,749.8,2809
2026-09-04,748.0,756.7,735.0,743.2,4940
2026-09-07,741.05,764.9,741.05,758.85,4759
2026-09-08,764.0,764.0,745.15,757.85,4498
2026-09-09,761.9,763.95,736.4,740.8,6623
2026-09-10,742.0,765.0,742.0,760.6,6250
2026-09-11,748.8,751.1,730.6,738.7,8186
2026-09-15,739.0,739.4,702.65,713.3,7292
2026-09-16,718.0,719.0,673.55,711.75,17598
2026-09-17,712.0,747.4,711.95,723.0,32741
2026-09-18,735.0,749.0,707.0,722.4,25482
