Datetime,Open,High,Low,Close,Volume
2023-09-14,121.7,124.0,116.75,118.2,150049
2023-09-15,117.5,119.0,114.05,116.21,112899
2023-09-18,114.21,116.0,112.0,113.59,49199
2023-09-20,112.0,117.8,112.0,117.15,35458
2023-09-21,117.4,117.8,112.0,114.31,25878
2023-09-22,115.85,118.8,113.05,116.63,22953
2023-09-25,115.05,119.0,114.0,116.89,42310
2023-09-26,117.7,119.8,114.15,114.5,54900
2023-09-27,113.86,120.35,111.01,116.28,135395
2023-09-28,116.94,117.58,112.85,113.32,86373
2023-09-29,113.76,115.91,113.5,114.6,52180
2023-10-03,113.8,115.5,111.5,112.35,68885
2023-10-04,112.35,113.7,109.65,111.4,91611
2023-10-05,111.8,113.35,111.0,112.3,41873
2023-10-06,112.9,118.8,112.1,117.25,92836
2023-10-09,114.2,117.25,113.7,114.0,69039
2023-10-10,114.35,117.5,113.5,113.9,49748
2023-10-11,113.1,115.5,113.1,114.3,18036
2023-10-12,115.6,121.9,115.6,120.7,253516
2023-10-13,122.6,135.0,122.0,133.15,668039
2023-10-16,134.0,138.0,130.1,133.8,487765
2023-10-17,134.45,136.7,132.8,134.4,101316
2023-10-18,135.85,135.85,130.35,132.7,151516
2023-10-19,132.4,135.5,130.45,133.3,216783
2023-10-20,133.3,134.45,127.8,128.75,59628
2023-10-23,128.35,130.0,118.0,118.95,114976
2023-10-25,121.3,122.9,114.0,116.5,50578
2023-10-26,115.45,118.9,112.5,117.15,111887
2023-10-27,119.5,122.8,119.2,121.55,28272
2023-10-30,121.25,124.45,119.9,121.85,98584
2023-10-31,123.5,126.4,122.9,125.15,57815
2023-11-01,125.85,126.95,122.05,122.95,162345
2023-11-02,125.2,128.85,123.45,126.1,43027
2023-11-03,127.55,127.55,124.0,124.45,22442
2023-11-06,124.5,126.25,122.4,122.9,60043
2023-11-07,123.45,124.45,118.6,120.05,26334
2023-11-08,121.5,121.7,119.55,119.9,41641
2023-11-09,121.7,122.35,118.7,119.3,27069
2023-11-10,118.5,121.8,118.4,119.95,79093
2023-11-12,121.0,123.1,121.0,122.8,18743
2023-11-13,124.0,124.0,119.7,121.9,68892
2023-11-15,122.85,123.0,120.25,120.55,33604
2023-11-16,121.05,121.05,119.0,119.3,63261
2023-11-17,120.7,120.7,117.5,118.25,62985
2023-11-20,118.0,118.6,116.7,116.85,22547
2023-11-21,117.0,118.9,116.35,116.6,26163
2023-11-22,116.0,117.7,115.0,116.1,20064
2023-11-23,118.4,120.4,117.95,118.65,69018
2023-11-24,119.95,120.25,118.0,118.3,15851
2023-11-28,120.7,120.7,118.05,118.3,14024
2023-11-29,118.6,119.8,117.15,117.8,22393
2023-11-30,120.0,120.0,115.65,117.2,48320
2023-12-01,118.0,119.1,117.2,117.75,34722
2023-12-04,118.55,119.95,117.7,118.6,71805
2023-12-05,116.65,122.5,116.65,119.7,46334
2023-12-06,120.95,121.65,119.3,120.8,33196
2023-12-07,121.45,121.95,118.9,119.3,67551
2023-12-08,120.5,120.5,116.7,117.35,55215
2023-12-11,119.7,119.7,115.3,116.0,35067
2023-12-12,116.05,117.4,115.0,115.4,60389
2023-12-13,115.55,117.35,115.3,116.6,23946
2023-12-14,118.95,118.95,115.55,116.3,20992
2023-12-15,117.8,120.6,116.85,117.85,122373
2023-12-18,117.85,119.25,117.0,117.55,22443
2023-12-19,118.95,118.95,116.4,117.25,21416
2023-12-20,117.25,118.0,112.35,113.25,34712
2023-12-21,112.85,115.45,111.7,114.8,23141
2023-12-22,115.4,116.25,114.4,114.7,22267
2023-12-26,115.05,117.95,115.05,117.2,51008
2023-12-27,116.05,122.6,116.05,119.55,133075
2023-12-28,119.55,120.3,115.7,116.1,513339
